Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Borough,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,North 12 Parking (at the William Vale) - Tesla Supercharger,113 N. 12th Street,,Brooklyn,NY,11249,Brooklyn,,877-798-3752,E,,Public,24 hours daily,,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-8,40.721853,-73.956658,7/1/2023,102327,2023-07-14 19:41:28 UTC,P,,,7/23/2018,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Mott Street Parking - Tesla Supercharger,106 Mott Street,,New York,NY,10013,Manhattan,,877-798-3752,E,,Public,5am-12am daily,,,,,,,2,,Tesla,https://www.tesla.com/supercharger,200-9,40.717522,-73.997302,7/1/2023,102334,2023-07-14 19:41:28 UTC,P,,,7/23/2018,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,W 75th Parking Garage - Tesla Supercharger,201 W 75th Street,,New York,NY,10023,Manhattan,,877-798-3752,E,,Public,24 hours daily,,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-8,40.780976,-73.980414,7/1/2023,102335,2023-07-14 19:41:28 UTC,P,,,7/23/2018,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,E 47th Street - Tesla Supercharger,212 East 47th Street,,New York,NY,10017,Manhattan,,877-798-3752,E,,Public,24 hours daily,,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-9,40.753356,-73.971685,7/1/2023,102336,2023-07-14 19:41:28 UTC,P,,,7/23/2018,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,JFK Airport Travel Plaza - Tesla Supercharger,150th Ave & 147th St,,Queens,NY,11430,Queens,,877-798-3752,E,,Public,24 hours daily,,,,,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,40.66179,-73.79282,7/1/2023,102341,2023-07-14 19:41:28 UTC,P,,,12/15/2013,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Astoria Central Parking - Tesla Destination,31-57 31st St,,Astoria,NY,11106,Queens,,718-489-1654  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.762502,-73.924507,10/6/2022,114881,2023-01-18 15:15:20 UTC,P,,,7/6/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Century Parking Corp - Tesla Destination,2600 Netherland Ave,,Bronx,NY,10463,Bronx,,718-543-6002  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.878532,-73.916201,10/6/2022,114888,2023-01-18 15:15:20 UTC,P,,,7/17/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Standard Parking 1360 Fulton Street - Tesla Destination,1360 Fulton St,,Brooklyn,NY,11216,Brooklyn,,800-836-6666  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.680168,-73.946022,10/6/2022,114889,2023-01-18 15:15:20 UTC,P,,,5/24/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Standard Parking 15 Metrotech - Tesla Destination,15 Metrotech Ctr S,,Brooklyn,NY,11201,Brooklyn,,800-836-6666  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.693999,-73.983809,10/6/2022,114890,2023-01-18 15:15:20 UTC,P,,,5/24/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Quik Park Armory Parking Inc. - Tesla Destination,172 Vanderbilt,,Brooklyn,NY,11205,Brooklyn,,718-222-9427  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.692635,-73.969935,10/6/2022,114891,2023-01-18 15:15:20 UTC,P,,,1/27/2017,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Discount Parking 180 Ashland Place - Tesla Destination,180 Ashland Pl,,Brooklyn,NY,11217,Brooklyn,,718-643-0430  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.689457,-73.978606,10/6/2022,114892,2023-01-18 15:15:20 UTC,P,,,5/6/2016,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,iPark 22/34 N 6th Garage Corp - Tesla Destination,22 N 5th St,,Brooklyn,NY,11211,Brooklyn,,718-218-7570  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.719338,-73.963081,10/6/2022,114893,2023-01-18 15:15:20 UTC,P,,,3/14/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Parkright 257 Gold Street - Tesla Destination,257 Gold St,,Brooklyn,NY,11201,Brooklyn,,212-247-7303  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.696848,-73.983071,10/6/2022,114895,2023-01-18 15:15:20 UTC,P,,,11/13/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Standard Parking Pierepoint Plaza - Tesla Destination,300 Cadman,,Brooklyn,NY,11201,Brooklyn,,800-836-6666  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,40.695115,-73.990993,10/6/2022,114896,2023-01-18 15:15:20 UTC,P,,,5/24/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Enterprise 309 Gold Street - Tesla Destination,309 Gold St,,Brooklyn,NY,11201,Brooklyn,,212-564-3199  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.694841,-73.982849,10/6/2022,114897,2023-01-18 15:15:20 UTC,P,,,2/9/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,iPark NYC 2234 North 6th - Tesla Destination,34 North 6th St,,Brooklyn,NY,11249,Brooklyn,,855-472-7569  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.71949,-73.963312,10/6/2022,114898,2023-01-18 15:15:20 UTC,P,,,9/18/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Standard Parking 1 Metrotech - Tesla Destination,351 Jay St,,Brooklyn,NY,11201,Brooklyn,,212-321-7500  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.69306,-73.987222,10/6/2022,114900,2023-01-18 15:15:20 UTC,P,,,5/24/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,GGMC Belltel Car Park - Tesla Destination,356 Bridge St,,Brooklyn,NY,11201,Brooklyn,,718-643-1385  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.692579,-73.985252,10/6/2022,114901,2023-01-18 15:15:20 UTC,P,,,3/21/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Quik Park 365 Management LLC - Tesla Destination,365 Bond St,,Brooklyn,NY,11231,Brooklyn,,888-705-7845  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.677412,-73.990986,10/6/2022,114902,2023-01-18 15:15:20 UTC,P,,,1/10/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,GMC 388 Bridge Street - Tesla Destination,388 Bridge St,,Brooklyn,NY,11201,Brooklyn,,718-855-1061  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.691469,-73.985446,10/6/2022,114903,2023-01-18 15:15:20 UTC,P,,,4/30/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Quik Park Brooklyn Bridge LLC - Tesla Destination,4 Joralemon St,,Brooklyn,NY,11201,Brooklyn,,718-488-0099  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.692941,-74.000298,10/6/2022,114904,2023-01-18 15:15:20 UTC,P,,,3/11/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Rapidpark 44 State Street - Tesla Destination,44 State St,,Brooklyn,NY,11201,Brooklyn,,718-624-5955  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.692062,-73.99816,10/6/2022,114905,2023-01-18 15:15:20 UTC,P,,,6/13/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Park Kwik LLC 50 Washington St. - Tesla Destination,45 Main St,,Brooklyn,NY,11201,Brooklyn,,718-222-0500  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.702882,-73.990594,10/6/2022,114906,2023-01-18 15:15:20 UTC,P,,,8/10/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Kings County Parking - Tesla Destination,581 Clarkson Ave,,Brooklyn,NY,11203,Brooklyn,,718-245-5337  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.65601,-73.940902,10/6/2022,114907,2023-01-18 15:15:20 UTC,P,,,6/16/2017,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,1 Hotel Brooklyn Bridge - Tesla Destination,60 Furman St,,Brooklyn,NY,11201,Brooklyn,,877-803-1111  877-798-3752,E,,Public,,,,,,,7,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.701461,-73.995566,10/6/2022,114908,2023-01-18 15:15:20 UTC,P,,,4/6/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,City Parking Linc Garage - Tesla Destination,62 Northside Piers,,Brooklyn,NY,11249,Brooklyn,,718-963-7048  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.719425,-73.963964,10/6/2022,114909,2023-01-18 15:15:20 UTC,P,,,6/16/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,"Littleman Driggs Parking, LLC - Tesla Destination",626 Driggs Ave,,Brooklyn,NY,11211,Brooklyn,,212-714-3571  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.715033,-73.958595,10/6/2022,114910,2023-01-18 15:15:20 UTC,P,,,5/24/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,66 Rockwell Pl,,Brooklyn,NY,11217,Brooklyn,,718-797-2408  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.688086,-73.979234,10/6/2022,114911,2023-01-18 15:15:20 UTC,P,,,11/13/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Standard Parking 200 Cadman Plaza West - Tesla Destination,75 Henry St,,Brooklyn,NY,11221,Brooklyn,,800-836-6666  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.698707,-73.992365,10/6/2022,114912,2023-01-18 15:15:20 UTC,P,,,5/24/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,GGMC Parking 75 Smith St Garage - Tesla Destination,75 Smith St,,Brooklyn,NY,11201,Brooklyn,,718-643-0593  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.689016,-73.988672,10/6/2022,114913,2023-01-18 15:15:20 UTC,P,,,11/13/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Standard Parking 2 Metrotech - Tesla Destination,8 Metrotech Ctr S,,Brooklyn,NY,11201,Brooklyn,,800-836-6666  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.693122,-73.985696,10/6/2022,114914,2023-01-18 15:15:20 UTC,P,,,5/24/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Quik Park 81 Fleet Place LLC - Tesla Destination,81 Fleet Pl,,Brooklyn,NY,11201,Brooklyn,,212-832-2066  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.693248,-73.981744,10/6/2022,114915,2023-01-18 15:15:20 UTC,P,,,3/11/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Rapidpark 906 Union Street - Tesla Destination,906 Union St,,Brooklyn,NY,11215,Brooklyn,,718-622-4867  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.672884,-73.971541,10/6/2022,114916,2023-01-18 15:15:20 UTC,P,,,6/13/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,MPG 100 Jay Street - Tesla Destination,100 Jay St,,Brooklyn,NY,10021,Manhattan,,718-855-2851  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.702194,-73.98672,10/6/2022,114917,2023-01-18 15:15:20 UTC,P,,,8/17/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,imPark 101 Bedford Ave - Tesla Destination,101 Bedford Ave,,Brooklyn,NY,11211,Brooklyn,,718-387-1737  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.719751,-73.954866,10/6/2022,114918,2023-01-18 15:15:20 UTC,P,,,1/9/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,The William Vale Hotel - Tesla Destination,111 N 12th St,,Brooklyn,NY,11249,Brooklyn,,718-631-8400  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.722137,-73.956583,10/6/2022,114919,2023-01-18 15:15:20 UTC,P,,,5/9/2016,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Hampton Inn LaGuardia Airport - Tesla Destination,102-40 Ditmars Blvd,,East Elmhurst,NY,11369,Queens,,718-672-6600  877-798-3752,E,,Public,,,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.767948,-73.867784,10/6/2022,114937,2023-01-18 15:15:20 UTC,P,,,10/24/2016,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,MPG The Shops at Skyview - Tesla Destination,40-24 College Point Blvd,,Flushing,NY,11354,Queens,,212-490-3460  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.75674,-73.836223,10/6/2022,114939,2023-01-18 15:15:20 UTC,P,,,2/22/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Sylvan Pinnacle Garage - Tesla Destination,112-01 Queens Blvd,,Forest Hills,NY,11375,Queens,,718-520-1403  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.718526,-73.83648,10/6/2022,114940,2023-01-18 15:15:20 UTC,P,,,7/17/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,MPG 1-50 51st Ave - Tesla Destination,1-50 51st Ave,,Long Island City,NY,11101,Queens,,718-433-1420  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.743049,-73.959245,10/6/2022,114968,2023-01-18 15:15:20 UTC,P,,,5/15/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,iPark 43-25 Hunter Street - Tesla Destination,43-25 Hunter St,,Long Island City,NY,11101,Queens,,347-738-6170  877-798-3752,E,,Public,,,,,,,8,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.747589,-73.942612,10/6/2022,114969,2023-01-18 15:15:20 UTC,P,,,5/1/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Little Man Parking (Queens West) - Tesla Destination,4-76 47th Ave,,Long Island City,NY,11109,Queens,,718-606-1760  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.745627,-73.955638,10/6/2022,114970,2023-01-18 15:15:20 UTC,P,,,3/9/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Icon Parking 235 W 48th - Tesla Destination,235 W 48th St,,Manhattan,NY,10036,Manhattan,,212-245-9421  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.76073,-73.985995,10/6/2022,114972,2023-01-18 15:15:20 UTC,P,,,8/10/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,MPG 10 E 102nd Street - Tesla Destination,10 E 102nd St,,New York,NY,10029,Manhattan,,212-249-1947  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.79136,-73.952155,10/6/2022,114983,2023-01-18 15:15:20 UTC,P,,,8/30/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Rapidpark 10 E 30th Street - Tesla Destination,10 E 30th St,,New York,NY,10016,Manhattan,,212-481-4097  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.74556,-73.985539,10/6/2022,114984,2023-01-18 15:15:20 UTC,P,,,6/13/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Icon Parking 1056 5th Avenue - Tesla Destination,10 E 87th St,,New York,NY,10028,Manhattan,,212-534-9437  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,40.782031,-73.959484,10/6/2022,114985,2023-01-18 15:15:20 UTC,P,,,8/23/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
